maxordQty,handlingDays,name,Brand,Origin,Supplier,Cat,storeStock,retailPrice,LowerSugar,TransFat,LactoseFree
51.0,0.0,Naturel Cooking Oil - Sunflower,Naturel,Malaysia,JOO KOON DC,Oil,147.0,9.8,Yes,No,No
30.0,0.0,Fortune Noodles - Kway Teow,Fortune,Singapore,FORTUNE FOOD MARKETING PTE LTD,Noodles,188.0,1.3,No,No,No
51.0,0.0,Bake King Essences - Vanilla,Bake King,Singapore,JOO KOON DC,Baking Needs,142.0,1.45,No,No,No
51.0,0.0,FairPrice Premium Japonica Rice - Short Grain,Fairprice,Vietnam,no info,"Rice, Noodles & Cooking Ingredients",251.0,6.5,No,No,No
51.0,0.0,Lady's Choice Real Mayonnaise,Lady'S Choice,Malaysia,JOO KOON DC,Condiments,169.0,3.95,No,No,No
51.0,0.0,Knorr Stock Cubes - Chicken,Knorr,Malaysia,no info,Soups,115.0,2.9,Yes,No,No
51.0,0.0,Naturel Cooking Oil - Canola,Naturel,Malaysia,JOO KOON DC,Oil,430.0,10.8,Yes,No,No
51.0,0.0,Borges Olive Oil - Extra Virgin,Borges,Spain,JOO KOON DC,Oil,224.0,30.9,Yes,No,No
30.0,0.0,FairPrice Instant Fresh Japanese Udon ,Fairprice,South Korea,ORIENT FOODS PTE LTD,"Rice, Noodles & Cooking Ingredients",283.0,2.6,No,Yes,No
51.0,0.0,Chee Seng Sesame Oil - White,Chee Seng,Singapore,no info,Oil,178.0,4.5,Yes,No,No
51.0,0.0,FairPrice Natural Coconut Cream,Fairprice,Indonesia,no info,"Rice, Noodles & Cooking Ingredients",680.0,0.75,No,Yes,No
30.0,0.0,Pasar Green Bean,Pasar,Australia,CONFECTIONARY & WINE WH,"Rice, Noodles & Cooking Ingredients",164.0,3.25,No,No,No
51.0,0.0,KCT Soya Sauce - Light (Superior),Kct,Singapore,no info,Condiments,200.0,4.9,Yes,No,No
51.0,0.0,Lee Kum Kee Oyster Sauce - Premium Brand + FreeSesameOil,Lee Kum Kee,Malaysia,JOO KOON DC,Condiments,125.0,7.25,No,No,No
51.0,0.0,Koka Ezy Cook Plain Noodles,Koka,Singapore,no info,Noodles,332.0,1.25,No,No,No
51.0,0.0,FairPrice AAA Golden Royal Dragon Thai White Fragrant Rice,Fairprice,Thailand,RICE - TRADING,"Rice, Noodles & Cooking Ingredients",39.0,21.0,No,No,No
51.0,0.0,Heinz Packet Broth - Chicken,Heinz,France,JOO KOON DC,Soups,323.0,4.15,No,No,No
51.0,0.0,Chilli Brand Red Rice Vermicelli,Chillies Brand,Singapore,JOO KOON DC,Noodles,228.0,1.95,Yes,No,No
51.0,0.0,Tai Hua Light Soy Sauce - Superior,Tai Hua,Singapore,JOO KOON DC,Condiments,89.0,6.15,No,No,No
51.0,0.0,Pagoda Premium Quality Plain Flour,Pagoda,Malaysia,no info,Baking Needs,247.0,1.85,No,No,No
51.0,0.0,FairPrice White Pepper - Ground,Fairprice,Malaysia,JOO KOON DC,"Rice, Noodles & Cooking Ingredients",106.0,4.15,No,No,No
51.0,0.0,Sun Brand Dried Hong Kong Yee Fu Mee,Sun Brand,Singapore,no info,Noodles,242.0,2.0,No,No,No
51.0,0.0,Prima Flour Packet Flour - Cake,Prima,Singapore,JOO KOON DC,Baking Needs,140.0,3.3,No,No,No
51.0,0.0,Megah Mee Claypot Ee Mee,Megah,Malaysia,no info,Noodles,202.0,1.75,No,No,No
51.0,0.0,Tadka Himalayan Pink Salt - Fine Grain,Tadka,Pakistan,SHIVSAGAR TRADING PTE LTD,Seasonings,19.0,3.5,No,No,No
51.0,0.0,Pagoda Sea Salt - Fine,Pagoda,Australia,JOO KOON DC,Seasonings,211.0,0.45,No,No,No
51.0,0.0,"Leggo’s Pasta Sauce - Carbonara (Fresh Cream, Onion & Cheese)",Leggo'S,Australia,JOO KOON DC,Cooking Paste & Sauces,127.0,4.95,No,No,No
51.0,0.0,Pasar Rock Sugar - China (Yellow),Pasar,China,CONFECTIONARY & WINE WH,"Rice, Noodles & Cooking Ingredients",217.0,2.1,No,No,No
30.0,0.0,Fortune Japanese Udon,Fortune,Singapore,FORTUNE FOOD MARKETING PTE LTD,Noodles,114.0,3.2,No,No,No
51.0,0.0,Habhal's Kicap Manis (Soya Bean Sauce) - Sweet,Habhal'S,Malaysia,RONG TAI INVESTMENT PTE LTD,Condiments,93.0,4.0,No,No,No
51.0,0.0,Knife Brand Rice Bran Oil,Knife Brand,Thailand,JOO KOON DC,Oil,167.0,9.5,Yes,No,No
51.0,0.0,Knorr Hao Chi All in One Seasoning ,Knorr,Malaysia,JOO KOON DC,Seasonings,169.0,3.35,Yes,Yes,No
51.0,0.0,Tiparos Thai Fish Sauce,Tiparos,Thailand,no info,Condiments,135.0,1.8,No,No,No
37.0,0.0,FairPrice Brown Sugar - Fine,Fairprice,Mauritius,JOO KOON DC,Sugar & Sweeteners,116.0,2.9,No,No,No
51.0,0.0,Swan Tai Ann Mee Sua Box,Swan Tai Ann,Malaysia,JOO KOON DC,Noodles,109.0,1.75,No,No,No
51.0,0.0,Prima Taste Sauce Kit - Singapore Curry,Prima Taste,Singapore,JOO KOON DC,Cooking Paste & Sauces,220.0,7.9,Yes,No,No
51.0,0.0,Erawan Elephant Rice Flour,Erawan,Thailand,JOO KOON DC,Baking Needs,125.0,1.6,No,No,No
51.0,0.0,Tai Hua Light Soy Sauce - Special,Tai Hua,Singapore,JOO KOON DC,Condiments,126.0,4.0,No,No,No
51.0,0.0,Naturel Olive Oil - Pure,Naturel,Spain,JOO KOON DC,Oil,134.0,11.9,Yes,Yes,No
51.0,0.0,New Moon AAA Jasmine Fragrant Rice ,New Moon,Vietnam,GOH JOO HIN PTE LTD,Rice,152.0,8.95,No,No,No
51.0,0.0,Fairprice Thai Brown Rice - Unpolished,Fairprice,Thailand,no info,Rice,1603.0,6.1,Yes,No,No
